n_amenageur,n_operateur,n_enseigne,id_station,n_station,ad_station,code_insee,Xlongitude,Ylatitude,nbre_pdc,id_pdc,puiss_max,type_prise,acces_recharge,accessibilite,observations,date_maj
AutoBleue,AutoBleue,AutoBleue,,Philibert AutoBleue 1,n°9 RUE EMMANUEL-PHILIBERT NICE ,,7.28319715,43.69955827,2,,,,Abonnement au service de rechargement privatif,24H/24 et 7J/7,https://www.auto-bleue.org,10/06/2014
AutoBleue,AutoBleue,AutoBleue,,Auguste Gal AutoBleue 2,n°28-32 RUE AUGUSTE GAL NICE ,,7.28649057,43.70505838,2,,,,Abonnement au service de rechargement privatif,24H/24 et 7J/7,https://www.auto-bleue.org,10/06/2014
AutoBleue,AutoBleue,AutoBleue,,Ponchettes AutoBleue 3,n°28-30 RUE DES PONCHETTES NICE ,,7.27769247,43.6950549,2,,,,Abonnement au service de rechargement privatif,24H/24 et 7J/7,https://www.auto-bleue.org,10/06/2014
AutoBleue,AutoBleue,AutoBleue,,Place Wilson AutoBleue 4,n°2 ALLEE SANDRO PERTINI NICE ,,7.27339752,43.70076902,2,,,,Abonnement au service de rechargement privatif,24H/24 et 7J/7,https://www.auto-bleue.org,10/06/2014
AutoBleue,AutoBleue,AutoBleue,,Cessole AutoBleue 5,n°141-143 BOULEVARD DE CESSOLE NICE ,,7.25017246,43.72343475,2,,,,Abonnement au service de rechargement privatif,24H/24 et 7J/7,https://www.auto-bleue.org,10/06/2014
AutoBleue,AutoBleue,AutoBleue,,Cyrille Besset AutoBleue 6,n°44 devant la Poste AVENUE CYRILLE BESSET NICE ,,7.25669306,43.71667776,2,,,,Abonnement au service de rechargement privatif,24H/24 et 7J/7,https://www.auto-bleue.org,10/06/2014
AutoBleue,AutoBleue,AutoBleue,,Raiberti AutoBleue 7,n°10 RUE RAIBERTI NICE ,,7.26319009,43.71053641,2,,,,Abonnement au service de rechargement privatif,24H/24 et 7J/7,https://www.auto-bleue.org,10/06/2014
AutoBleue,AutoBleue,AutoBleue,,Deloye AutoBleue 8,n°5 RUE GUSTAVE DELOYE NICE ,,7.26970221,43.69940567,2,,,,Abonnement au service de rechargement privatif,24H/24 et 7J/7,https://www.auto-bleue.org,10/06/2014
AutoBleue,AutoBleue,AutoBleue,,Saint Francois de Paule AutoBleue 9,n°15 RUE SAINT-FRANCOIS DE PAULE NICE ,,7.2696344,43.69570154,2,,,,Abonnement au service de rechargement privatif,24H/24 et 7J/7,https://www.auto-bleue.org,10/06/2014
AutoBleue,AutoBleue,AutoBleue,,Congrès AutoBleue 10,n°11 bis RUE DU CONGRES NICE ,,7.26281901,43.69763021,2,,,,Abonnement au service de rechargement privatif,24H/24 et 7J/7,https://www.auto-bleue.org,10/06/2014
